lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,total_of_special_requests
43,0,3,2,2,0,0,0,0,0,1
6,1,0,1,0,0,0,0,1,0,0
311,4,10,2,0,0,0,0,0,0,0
31,2,1,1,0,0,0,0,0,0,1
150,2,5,2,0,0,0,0,0,0,1
0,0,1,3,0,0,0,0,0,0,0
4,0,1,2,0,0,0,0,0,0,0
112,2,4,2,0,0,0,0,0,0,1
341,0,2,2,0,0,1,0,0,0,0
6,1,0,1,0,0,0,0,0,0,0
147,0,3,2,2,0,0,0,0,0,1
152,2,5,2,0,0,0,0,0,0,0
32,2,4,3,0,0,0,0,0,0,0
12,2,1,3,0,0,0,0,1,0,2
80,2,3,2,0,0,0,0,0,0,3
98,2,1,3,0,0,0,0,0,0,2
0,0,0,2,0,0,0,0,0,0,0
137,1,4,2,0,0,0,0,1,0,1
15,1,3,1,0,0,0,0,0,0,1
35,1,1,2,0,0,0,0,0,0,0
249,2,3,1,0,0,0,0,0,0,1
164,4,10,2,0,0,0,0,0,0,0
54,0,2,2,0,0,0,0,2,0,2
3,1,1,1,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0
144,2,5,2,0,0,0,0,0,0,0
14,1,4,2,0,0,0,0,0,0,0
39,0,1,1,0,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0,0
142,2,7,3,0,0,0,0,0,0,0
1,2,0,2,0,0,0,0,0,0,2
111,4,10,2,0,0,0,0,0,0,0
1,0,1,1,0,0,0,5,0,0,1
3,0,1,1,0,0,0,0,0,0,0
30,2,0,2,0,0,0,0,0,0,0
28,2,4,2,0,0,0,0,0,0,3
81,2,4,3,1,0,0,0,0,0,0
1,0,1,1,0,0,0,0,1,0,2
2,0,2,2,0,0,0,0,1,0,1
53,2,5,2,0,0,0,0,0,0,0
28,0,1,2,0,0,0,0,1,0,0
7,0,1,1,0,0,0,1,0,0,0
218,2,1,2,0,0,0,0,0,0,2
13,1,5,2,0,0,0,0,0,0,1
3,2,2,1,0,0,0,0,0,0,0
1,0,2,2,0,0,0,0,1,0,0
55,0,3,3,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0
3,0,1,2,0,0,0,0,0,0,0
23,2,1,2,0,0,0,0,0,0,2
116,2,2,2,0,0,0,0,0,0,0
1,0,3,3,0,0,0,0,0,0,4
50,1,3,2,0,0,0,0,0,0,0
179,2,5,2,1,0,0,0,1,0,0
169,2,5,2,0,0,0,0,0,0,0
40,2,0,2,0,0,0,0,0,0,2
0,0,1,2,0,0,0,0,0,0,0
76,1,1,2,2,0,0,0,0,0,0
103,1,2,2,0,0,0,0,0,0,1
69,1,1,3,0,0,0,0,0,0,2
2,0,2,2,0,0,0,0,0,0,0
26,1,1,1,0,0,0,2,0,0,0
13,2,5,2,0,0,0,0,0,0,1
57,2,4,2,0,0,0,0,0,0,0
15,0,3,2,0,0,0,0,0,0,1
46,2,2,3,0,0,0,0,0,0,1
32,1,4,0,2,0,0,0,0,0,0
0,0,1,2,0,0,0,1,0,0,1
97,1,4,2,0,0,0,0,0,0,2
1,1,0,2,0,0,0,0,0,0,0
